Feature_ID	Proto-language	gray_parsimony_prediction_0	gray_parsimony_prediction_1	ntips_parsimony_gray	min_parsimony_gray	min_percent_parsimony_gray	gray_parsimony_prediction	Prediction	Parsimony result (Gray et al 2009-tree posteriors)
GB020	Proto-Central Pacific	0	1	129	51	0.3953488372093023	Present	NA	NA
GB020	Proto-Eastern Polynesian	0	1	129	51	0.3953488372093023	Present	NA	NA
GB020	Proto-Oceanic	0.945	0.054999999999999986	129	51	0.3953488372093023	Absent	NA	NA
GB020	Proto-Polynesian	0	1	129	51	0.3953488372093023	Present	1	True Positive
GB021	Proto-Central Pacific	1	0	116	42	0.3620689655172414	Absent	NA	NA
GB021	Proto-Eastern Polynesian	0.009999999999999997	0.99	116	42	0.3620689655172414	Present	NA	NA
GB021	Proto-Oceanic	1	0	116	42	0.3620689655172414	Absent	NA	NA
GB021	Proto-Polynesian	0	1	116	42	0.3620689655172414	Present	1	True Positive
GB022	Proto-Central Pacific	0	1	130	49	0.3769230769230769	Present	NA	NA
GB022	Proto-Eastern Polynesian	0	1	130	49	0.3769230769230769	Present	NA	NA
GB022	Proto-Oceanic	0.425	0.575	130	49	0.3769230769230769	Half	1	Half
GB022	Proto-Polynesian	0	1	130	49	0.3769230769230769	Present	1	True Positive
GB023	Proto-Central Pacific	1	0	129	25	0.19379844961240308	Absent	NA	NA
GB023	Proto-Eastern Polynesian	1	0	129	25	0.19379844961240308	Absent	NA	NA
GB023	Proto-Oceanic	1	0	129	25	0.19379844961240308	Absent	0	True Negative
GB023	Proto-Polynesian	1	0	129	25	0.19379844961240308	Absent	NA	NA
GB024a	Proto-Central Pacific	0.20121428571428573	0.7987857142857143	126	61	0.4841269841269842	Present	NA	NA
GB024a	Proto-Eastern Polynesian	0.035999999999999976	0.964	126	61	0.4841269841269842	Present	NA	NA
GB024a	Proto-Oceanic	0.5	0.5	126	61	0.4841269841269842	Half	NA	NA
GB024a	Proto-Polynesian	0.9307287157287157	0.06927128427128426	126	61	0.4841269841269842	Absent	NA	NA
GB024b	Proto-Central Pacific	0.038	0.962	126	49	0.3888888888888889	Present	NA	NA
GB024b	Proto-Eastern Polynesian	0.03500000000000001	0.9650000000000001	126	49	0.3888888888888889	Present	NA	NA
GB024b	Proto-Oceanic	0.0049999999999999975	0.995	126	49	0.3888888888888889	Present	NA	NA
GB024b	Proto-Polynesian	0	1	126	49	0.3888888888888889	Present	NA	NA
GB025a	Proto-Central Pacific	1	0	125	34	0.272	Absent	NA	NA
GB025a	Proto-Eastern Polynesian	0	1	125	34	0.272	Present	NA	NA
GB025a	Proto-Oceanic	1	0	125	34	0.272	Absent	0	True Negative
GB025a	Proto-Polynesian	1	0	125	34	0.272	Absent	NA	NA
GB025b	Proto-Central Pacific	0	1	125	19	0.152	Present	NA	NA
GB025b	Proto-Eastern Polynesian	0	1	125	19	0.152	Present	NA	NA
GB025b	Proto-Oceanic	0	1	125	19	0.152	Present	1	True Positive
GB025b	Proto-Polynesian	0	1	125	19	0.152	Present	NA	NA
GB026	Proto-Central Pacific	1	0	116	0	0	Absent	NA	NA
GB026	Proto-Eastern Polynesian	1	0	116	0	0	Absent	NA	NA
GB026	Proto-Oceanic	1	0	116	0	0	Absent	NA	NA
GB026	Proto-Polynesian	1	0	116	0	0	Absent	NA	NA
GB027	Proto-Central Pacific	0.5	0.5	102	34	0.3333333333333333	Half	NA	NA
GB027	Proto-Eastern Polynesian	0.4688333333333333	0.5311666666666667	102	34	0.3333333333333333	Half	NA	NA
GB027	Proto-Oceanic	0	1	102	34	0.3333333333333333	Present	NA	NA
GB027	Proto-Polynesian	0.9666666666666667	0.03333333333333332	102	34	0.3333333333333333	Absent	NA	NA
GB028	Proto-Central Pacific	0	1	132	2	0.015151515151515154	Present	NA	NA
GB028	Proto-Eastern Polynesian	0	1	132	2	0.015151515151515154	Present	NA	NA
GB028	Proto-Oceanic	0	1	132	2	0.015151515151515154	Present	1	True Positive
GB028	Proto-Polynesian	0	1	132	2	0.015151515151515154	Present	1	True Positive
GB030	Proto-Central Pacific	1	0	131	6	0.04580152671755725	Absent	NA	NA
GB030	Proto-Eastern Polynesian	1	0	131	6	0.04580152671755725	Absent	NA	NA
GB030	Proto-Oceanic	1	0	131	6	0.04580152671755725	Absent	0	True Negative
GB030	Proto-Polynesian	1	0	131	6	0.04580152671755725	Absent	NA	NA
GB031	Proto-Central Pacific	0	1	130	42	0.3230769230769231	Present	NA	NA
GB031	Proto-Eastern Polynesian	0	1	130	42	0.3230769230769231	Present	NA	NA
GB031	Proto-Oceanic	0.25	0.75	130	42	0.3230769230769231	Present	1	True Positive
GB031	Proto-Polynesian	0	1	130	42	0.3230769230769231	Present	1	True Positive
GB035	Proto-Central Pacific	0	1	112	30	0.26785714285714285	Present	NA	NA
GB035	Proto-Eastern Polynesian	0	1	112	30	0.26785714285714285	Present	NA	NA
GB035	Proto-Oceanic	0.05499999999999999	0.9450000000000001	112	30	0.26785714285714285	Present	1	True Positive
GB035	Proto-Polynesian	0	1	112	30	0.26785714285714285	Present	1	True Positive
GB036	Proto-Central Pacific	1	0	111	8	0.07207207207207207	Absent	NA	NA
GB036	Proto-Eastern Polynesian	1	0	111	8	0.07207207207207207	Absent	NA	NA
GB036	Proto-Oceanic	1	0	111	8	0.07207207207207207	Absent	NA	NA
